created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Sep 26 08:06:59 +0000 2023;1706581117791523217;"kurang bijak jika tiktokshop di hapus, regulasi di perketat aja saya ada saran • artis dengan penghasilan diatas 1M/thn dilarang jualan di tiktok • tiktok kerjasama dgn ecomm untuk jualan jadi di kranjang kuning bisa auto ke toko ijo , oren, dkk  lanjut...";0;1;0;0;in;1561061044235091968;1706581117791523217;KangMasAabang;https://twitter.com/KangMasAabang/status/1706581117791523217
Tue Sep 26 06:50:47 +0000 2023;1706561938883498244;"Bisnis e-commerce TikTok yang bernama "TikTok Shop" bakal dilarang jualan di Indonesia  https://t.co/RvAY8ryHP6  Sumber: https://t.co/fKw2Iud4Ey #medanfmnews #medanfmmakinhits #tiktok #tiktokshop https://t.co/XMGLUyPZMZ";1;0;0;0;in;725624934;1706561938883498244;963MedanFM;https://twitter.com/963MedanFM/status/1706561938883498244
Tue Sep 26 05:55:32 +0000 2023;1706548033872437626;"@irwndfrry yang dilarang malah tiktokshop";0;0;0;0;in;1598282150226591744;1706496575449764226;rohitsebastiian;https://twitter.com/rohitsebastiian/status/1706548033872437626
Tue Sep 26 04:45:54 +0000 2023;1706530513928990866;"benernya itu we gabisa belanja lagi dari tiktok shop? kasian kali la kawan aku yang kerjanya dari situ ya  #TikTokShop #dilarang #jokowi";0;0;0;0;in;1694265808619511809;1706530513928990866;Batakmums;https://twitter.com/Batakmums/status/1706530513928990866
Tue Sep 26 04:32:51 +0000 2023;1706527229155684666;"@irwndfrry Kl tiktokshop gmn bang? Yg udh lgsg dilarang aja tp nggak disuksi sm temen2 yg udh jualan di tiktok";0;0;0;1;in;232419031;1706496575449764226;Hilmi_ak;https://twitter.com/Hilmi_ak/status/1706527229155684666
Tue Sep 26 03:43:16 +0000 2023;1706514750530838539;"Pemerintah akan menegaskan layanan perdagangan e-commerce dan platform media sosial harus dipisahkan. Mendag Zulkifli Hasan juga menyatakan media sosial hanya diizinkan mempromosikan produk.  📸: https://t.co/5kF9QXwLns  #KeTitik  #TikTokShop #TikTokShopDilarang";0;0;0;0;in;1538540255304790017;1706514708818497954;Ketitik_app;https://twitter.com/Ketitik_app/status/1706514750530838539
Tue Sep 26 03:34:21 +0000 2023;1706512503990313266;"Pemerintah akhirnya melarang  platform social commerce memfasilitasi transaksi perdagangan. Dengan adanya aturan ini, maka TikTok Shop dll dilarang untuk menfasilitasi jual beli barang.  https://t.co/e0t1WKFLMm   #reqnews #newsupdate #tiktokshop #jualbeli #promosi";0;0;0;1;in;567472100;1706512503990313266;requisitoire;https://twitter.com/requisitoire/status/1706512503990313266
Tue Sep 26 03:12:34 +0000 2023;1706507024597746019;"Pemerintah melalui kementerian Perdagangan mengeluarkan aturan yang melarang platform social commerce memfasilitasi transaksi perdagangan. Dengan adanya aturan ini, maka TikTok Shop dilarang beroperasi. RYN   Selengkapnya: https://t.co/lSXzo8Iv9l  #SocialCommerce #TikTokShop https://t.co/uvPYEDsUu5";0;0;1;0;in;132078023;1706507024597746019;officialinews_;https://twitter.com/officialinews_/status/1706507024597746019
Tue Sep 26 02:02:11 +0000 2023;1706489310961398019;"TikTok Shop Resmi Dilarang oleh Pemerintah Indonesia  Baca artikel selengkapnya  #ermendagNomor50Tahun2020 #fenomenascommerce #MenteriPerdagangan #PresidenJokoWidodo #SCommerce #SocialCommerce #TikTokShop #TiktokShopresmidilarang #ZulkifliHasan https://t.co/kJ7v4tVZ74";0;0;0;0;in;1299264709086990337;1706489310961398019;SampaiJauhcom;https://twitter.com/SampaiJauhcom/status/1706489310961398019
Mon Sep 25 22:10:27 +0000 2023;1706430991689224613;"Tiktokshop udah resmi dilarang pemerintah ya ?  Lihat aja abis ini. Deal2an dulu lah. Kek ojol dulu itu lho 😅";0;0;0;1;in;615190504;1706430991689224613;bgsidpbrkh;https://twitter.com/bgsidpbrkh/status/1706430991689224613
Mon Sep 25 21:31:54 +0000 2023;1706421293879587089;"#KamiUMKMdiTikTok  Resmi  Arahan president  Tiktokshop dilarang . Jika melanggar Akan di blokir apikasi ya .. Yuk dukung pemerintah Demi umkm pasar pasar tradisional dan lain lain... https://t.co/QJRKayPCJl";0;0;0;2;in;1680503501351452672;1706421293879587089;CakraPutra13289;https://twitter.com/CakraPutra13289/status/1706421293879587089
Mon Sep 25 21:28:47 +0000 2023;1706420509691559963;"#KamiUMKMdiTikTok  RESMI  DUKUNG PEMERINTAH TIKTOKSHOP FIX DILARANG . KEMBALI KE AWAL HANYA SEBAGAI MEDIA KONTEN... https://t.co/J5f0TYsL5h";0;0;0;1;in;1680503501351452672;1706420509691559963;CakraPutra13289;https://twitter.com/CakraPutra13289/status/1706420509691559963
Mon Sep 25 19:20:22 +0000 2023;1706388191790633054;"#KamiUMKMdiTikTok RESMI TIKTOKSHOP DILARANG https://t.co/welyOYwU7T";0;0;0;1;in;1680503501351452672;1706388191790633054;CakraPutra13289;https://twitter.com/CakraPutra13289/status/1706388191790633054
Mon Sep 25 19:08:55 +0000 2023;1706385308491956421;"Terlalu berlebihan melarang social commerce, yang perlu dilarang adalah praktik subsidi yang predatory. #TikTokShop";0;0;1;1;in;44142334;1706385308491956421;msaidf;https://twitter.com/msaidf/status/1706385308491956421
Mon Sep 25 16:44:34 +0000 2023;1706348983600418860;"Lah emang beneran tiktokshop dilarang jualan sekarang, OMG Padahal platform kesukaanku adalah tiktokshop dan lazadut";0;0;0;0;in;1041798120;1706348983600418860;Ehcn_27;https://twitter.com/Ehcn_27/status/1706348983600418860
Mon Sep 25 16:25:23 +0000 2023;1706344156740845606;"klo tiktokshop dilarang, pickupan ku lak yo ntek ta cok sue sue. Shopee diembat spx kabeh huft😣🤧";0;3;0;0;in;1229928037199859712;1706344156740845606;ferdianhehe;https://twitter.com/ferdianhehe/status/1706344156740845606
Mon Sep 25 15:32:35 +0000 2023;1706330867004784918;"Conten, Talent, Host : Creator tiktokshop ketar ketir malam ini paska pengumuman dilarang JUALAN.  Kalo ownernya mah udah pada kayaraya";0;2;0;1;in;396807036;1706330867004784918;Ternoda_;https://twitter.com/Ternoda_/status/1706330867004784918
Mon Sep 25 15:11:38 +0000 2023;1706325594261057603;"Permasalahannya tuh consumer behavior-nya udh bergeser, mau dilarang kaya gimana jg susah kalo gak mau menyesuaikan. Kemungkinan org tetep beli online cuma gak di tiktokshop lagi, harusnya diregulasi aja artis yg jualan online/di tiktok biar gak nekan umkm bukannya ditutup total.";0;2;0;1;in;453660060;1706325594261057603;fitrafidyn;https://twitter.com/fitrafidyn/status/1706325594261057603
