created_at,full_text,username,preprocessing
Mon Sep 25 16:25:23 +0000 2023,"klo tiktokshop dilarang, pickupan ku lak yo ntek ta cok sue sue. shopee diembat spx kabeh huft😣🤧",ferdianhehe,k l o   t i k t o k s h o p   l a r a n g   p i c k u p a n   k u   l a k   y o   n t e k   t a   c o k   s u e   s u e   s h o p e e   e m b a t   s p x   k a b e h   h u f t
Mon Sep 25 15:32:35 +0000 2023,"conten, talent, host : creator tiktokshop ketar ketir malam ini paska pengumuman dilarang jualan.  kalo ownernya mah udah pada kayaraya",Ternoda_,c o n t e n   t a l e n t   h o s t c r e a t o r   t i k t o k s h o p   k e t a r   t i r   m a l a m   p a s k a   u m u m   l a r a n g   j u a l a n k a l o   o w n e r n y a   m a h   u d a h   k a y a r a y a
Mon Sep 25 15:11:38 +0000 2023,"permasalahannya tuh consumer behavior-nya udh bergeser, mau dilarang kaya gimana jg susah kalo gak mau menyesuaikan. kemungkinan org tetep beli online cuma gak di tiktokshop lagi, harusnya diregulasi aja artis yg jualan online/di tiktok biar gak nekan umkm bukannya ditutup total.",fitrafidyn,m a s a l a h   t u h   c o n s u m e r   b e h a v i o r n y a   u d h   g e s e r   l a r a n g   k a y a   g i m a n a   j g   s u s a h   k a l o   g a k   s e s u a i   o r g   t e t e p   b e l i   o n l i n e   g a k   t i k t o k s h o p   r e g u l a s i   a j a   a r t i s   y g   j u a l   o n l i n e d i   t i k t o k   b i a r   g a k   n e k a n   u m k m   t u t u p   t o t a l
Mon Sep 25 14:54:25 +0000 2023,"@kutipan_anda setuju, kalau langsung dilarang gimana para umkm yg lagi merintis di tiktokshop #kamiumkmditiktok",Laladipsii,t u j u   l a n g s u n g   l a r a n g   g i m a n a   u m k m   y g   r i n t i s   t i k t o k s h o p
Mon Sep 25 14:25:16 +0000 2023,"banyak yang berpenghasilan dari tiktok shop tapi ko malah dilarang, kenapa?  #tiktokshop #tiktokindonesia",CoffeeoutDor,h a s i l   t i k t o k   s h o p   k o   l a r a n g
Mon Sep 25 14:05:33 +0000 2023,"resmi, tiktok shop dilarang jualan hanya boleh iklan  #tiktok #tiktokshop #zulkiflihasan #mendag https://t.co/euqeu8cbrm https://t.co/2hcjg43cvj",TechnologueID,r e s m i   t i k t o k   s h o p   l a r a n g   j u a l   i k l a n
Mon Sep 25 13:26:01 +0000 2023,"@strategi_bisnis kalo didengar penjelasannya ngak bakal dilarang cuma diminta 2 ijin terpisah aja dan di sosmednya tidak ada fitur transaksi. kalo begitu doang buat tiktok gampanglah, tinggal redirect transaksinya ke web tiktokshop udah selesai😅",andriipod,k a l o   d e n g a r   j e l a s   n g a k   l a r a n g   d i m i n t a i j i n   p i s a h   a j a   s o s m e d n y a   f i t u r   t r a n s a k s i   k a l o   d o a n g   t i k t o k   g a m p a n g   t i n g g a l   r e d i r e c t   t r a n s a k s i   w e b   t i k t o k s h o p   u d a h   s e l e s a i
Mon Sep 25 12:55:24 +0000 2023,berhubung tiktokshop resmi dilarang checkout dulu aah mana gratis ongkir,ken2terus,h u b u n g   t i k t o k s h o p   r e s m i   l a r a n g   c h e c k o u t   a a h   g r a t i s   o n g k i r
Mon Sep 25 12:51:05 +0000 2023,"@areajulid anjir padahal sama aja kek platform lain, kenapa cuma tiktokshop yg dilarang bgsattt",iamnoturbee,a n j i r   a j a   k e k   p l a t f o r m   t i k t o k s h o p   y g   l a r a n g   b g s a t t t
Mon Sep 25 12:02:51 +0000 2023,"ketahui kapan tiktok shop ditutup, kenapa mau dihapus dan dilarang di indonesia? simak aturan larangan jualan di social commerce. #tiktokshop   https://t.co/tycfqoe4da",berita_diy,t a h u   t i k t o k   s h o p   t u t u p   h a p u s   l a r a n g   i n d o n e s i a   s i m a k   a t u r   l a r a n g   j u a l   s o c i a l   c o m m e r c e
